gamePk,event_name,game_date,home_team,away_team,venue_name,venue_id
776149,Pittsburgh Pirates at Atlanta Braves,2025-09-28,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
831597,Minnesota Twins at Atlanta Braves,2026-02-22,Atlanta Braves,Minnesota Twins,CoolToday Park,5380
831594,Detroit Tigers at Atlanta Braves,2026-02-24,Atlanta Braves,Detroit Tigers,CoolToday Park,5380
831490,Pittsburgh Pirates at Atlanta Braves,2026-02-25,Atlanta Braves,Pittsburgh Pirates,CoolToday Park,5380
831588,Boston Red Sox at Atlanta Braves,2026-02-27,Atlanta Braves,Boston Red Sox,CoolToday Park,5380
831585,Tampa Bay Rays at Atlanta Braves,2026-03-01,Atlanta Braves,Tampa Bay Rays,CoolToday Park,5380
831438,Colombia at Atlanta Braves,2026-03-04,Atlanta Braves,Colombia,CoolToday Park,5380
831583,Toronto Blue Jays at Atlanta Braves,2026-03-05,Atlanta Braves,Toronto Blue Jays,CoolToday Park,5380
831580,Baltimore Orioles at Atlanta Braves,2026-03-07,Atlanta Braves,Baltimore Orioles,CoolToday Park,5380
831569,Minnesota Twins at Atlanta Braves,2026-03-09,Atlanta Braves,Minnesota Twins,CoolToday Park,5380
831574,Tampa Bay Rays at Atlanta Braves,2026-03-11,Atlanta Braves,Tampa Bay Rays,CoolToday Park,5380
831563,New York Yankees at Atlanta Braves,2026-03-13,Atlanta Braves,New York Yankees,CoolToday Park,5380
831566,Boston Red Sox at Atlanta Braves,2026-03-14,Atlanta Braves,Boston Red Sox,CoolToday Park,5380
831557,Tampa Bay Rays at Atlanta Braves,2026-03-16,Atlanta Braves,Tampa Bay Rays,CoolToday Park,5380
831453,Philadelphia Phillies at Atlanta Braves,2026-03-18,Atlanta Braves,Philadelphia Phillies,CoolToday Park,5380
831451,Pittsburgh Pirates at Atlanta Braves,2026-03-20,Atlanta Braves,Pittsburgh Pirates,CoolToday Park,5380
831545,Tampa Bay Rays at Atlanta Braves,2026-03-24,Atlanta Braves,Tampa Bay Rays,CoolToday Park,5380
824946,Kansas City Royals at Atlanta Braves,2026-03-26,Atlanta Braves,Kansas City Royals,Truist Park,4705
824945,Kansas City Royals at Atlanta Braves,2026-03-28,Atlanta Braves,Kansas City Royals,Truist Park,4705
824944,Kansas City Royals at Atlanta Braves,2026-03-29,Atlanta Braves,Kansas City Royals,Truist Park,4705
824943,Athletics at Atlanta Braves,2026-03-30,Atlanta Braves,Athletics,Truist Park,4705
824942,Athletics at Atlanta Braves,2026-03-31,Atlanta Braves,Athletics,Truist Park,4705
824940,Athletics at Atlanta Braves,2026-04-01,Atlanta Braves,Athletics,Truist Park,4705
824941,Cleveland Guardians at Atlanta Braves,2026-04-10,Atlanta Braves,Cleveland Guardians,Truist Park,4705
824939,Cleveland Guardians at Atlanta Braves,2026-04-11,Atlanta Braves,Cleveland Guardians,Truist Park,4705
824938,Cleveland Guardians at Atlanta Braves,2026-04-12,Atlanta Braves,Cleveland Guardians,Truist Park,4705
824937,Miami Marlins at Atlanta Braves,2026-04-13,Atlanta Braves,Miami Marlins,Truist Park,4705
824935,Miami Marlins at Atlanta Braves,2026-04-14,Atlanta Braves,Miami Marlins,Truist Park,4705
824936,Miami Marlins at Atlanta Braves,2026-04-15,Atlanta Braves,Miami Marlins,Truist Park,4705
824932,Philadelphia Phillies at Atlanta Braves,2026-04-24,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
824933,Philadelphia Phillies at Atlanta Braves,2026-04-25,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
824934,Philadelphia Phillies at Atlanta Braves,2026-04-26,Atlanta Braves,Philadelphia Phillies,Truist Park,4705
824931,Detroit Tigers at Atlanta Braves,2026-04-28,Atlanta Braves,Detroit Tigers,Truist Park,4705
824930,Detroit Tigers at Atlanta Braves,2026-04-29,Atlanta Braves,Detroit Tigers,Truist Park,4705
824929,Detroit Tigers at Atlanta Braves,2026-04-30,Atlanta Braves,Detroit Tigers,Truist Park,4705
824927,Chicago Cubs at Atlanta Braves,2026-05-12,Atlanta Braves,Chicago Cubs,Truist Park,4705
824928,Chicago Cubs at Atlanta Braves,2026-05-13,Atlanta Braves,Chicago Cubs,Truist Park,4705
824926,Chicago Cubs at Atlanta Braves,2026-05-14,Atlanta Braves,Chicago Cubs,Truist Park,4705
824925,Boston Red Sox at Atlanta Braves,2026-05-15,Atlanta Braves,Boston Red Sox,Truist Park,4705
824924,Boston Red Sox at Atlanta Braves,2026-05-16,Atlanta Braves,Boston Red Sox,Truist Park,4705
824923,Boston Red Sox at Atlanta Braves,2026-05-17,Atlanta Braves,Boston Red Sox,Truist Park,4705
824922,Washington Nationals at Atlanta Braves,2026-05-22,Atlanta Braves,Washington Nationals,Truist Park,4705
824920,Washington Nationals at Atlanta Braves,2026-05-23,Atlanta Braves,Washington Nationals,Truist Park,4705
824921,Washington Nationals at Atlanta Braves,2026-05-24,Atlanta Braves,Washington Nationals,Truist Park,4705
824918,Toronto Blue Jays at Atlanta Braves,2026-06-02,Atlanta Braves,Toronto Blue Jays,Truist Park,4705
824917,Toronto Blue Jays at Atlanta Braves,2026-06-03,Atlanta Braves,Toronto Blue Jays,Truist Park,4705
824919,Toronto Blue Jays at Atlanta Braves,2026-06-04,Atlanta Braves,Toronto Blue Jays,Truist Park,4705
824914,Pittsburgh Pirates at Atlanta Braves,2026-06-05,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
824915,Pittsburgh Pirates at Atlanta Braves,2026-06-06,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
824916,Pittsburgh Pirates at Atlanta Braves,2026-06-07,Atlanta Braves,Pittsburgh Pirates,Truist Park,4705
