game_date,league,home_team,event_name,venue_name,longitude,latitude
2024-05-13,MLB,Atlanta Braves,Chicago Cubs at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-14,MLB,Atlanta Braves,Chicago Cubs at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-15,MLB,Atlanta Braves,Chicago Cubs at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-17,MLB,Atlanta Braves,San Diego Padres at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-18,MLB,Atlanta Braves,San Diego Padres at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-19,MLB,Atlanta Braves,San Diego Padres at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-20,MLB,Atlanta Braves,San Diego Padres at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-25,MLS,Atlanta United FC,Nashville SC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-05-27,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-28,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-29,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-30,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-05-31,MLB,Atlanta Braves,Oakland Athletics at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-01,MLB,Atlanta Braves,Oakland Athletics at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-02,MLB,Atlanta Braves,Oakland Athletics at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-02,MLS,Atlanta United FC,Charlotte FC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-06-14,MLB,Atlanta Braves,Tampa Bay Rays at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-15,MLB,Atlanta Braves,Tampa Bay Rays at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-15,MLS,Atlanta United FC,Houston Dynamo FC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-06-16,MLB,Atlanta Braves,Tampa Bay Rays at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-17,MLB,Atlanta Braves,Detroit Tigers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-18,MLB,Atlanta Braves,Detroit Tigers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-19,MLB,Atlanta Braves,Detroit Tigers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-28,MLB,Atlanta Braves,Pittsburgh Pirates at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-29,MLB,Atlanta Braves,Pittsburgh Pirates at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-06-29,MLS,Atlanta United FC,Toronto FC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-06-30,MLB,Atlanta Braves,Pittsburgh Pirates at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-02,MLB,Atlanta Braves,San Francisco Giants at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-03,MLB,Atlanta Braves,San Francisco Giants at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-04,MLB,Atlanta Braves,San Francisco Giants at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-05,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-06,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-07,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-17,MLS,Atlanta United FC,New York City FC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-07-19,MLB,Atlanta Braves,St. Louis Cardinals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-20,MLS,Atlanta United FC,Columbus Crew at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-07-20,MLB,Atlanta Braves,St. Louis Cardinals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-21,MLB,Atlanta Braves,St. Louis Cardinals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-22,MLB,Atlanta Braves,Cincinnati Reds at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-23,MLB,Atlanta Braves,Cincinnati Reds at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-07-24,MLB,Atlanta Braves,Cincinnati Reds at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-01,MLB,Atlanta Braves,Miami Marlins at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-02,MLB,Atlanta Braves,Miami Marlins at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-03,MLB,Atlanta Braves,Miami Marlins at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-04,MLB,Atlanta Braves,Miami Marlins at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-06,MLB,Atlanta Braves,Milwaukee Brewers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-07,MLB,Atlanta Braves,Milwaukee Brewers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-08,MLB,Atlanta Braves,Milwaukee Brewers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-20,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-21,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-22,MLB,Atlanta Braves,Philadelphia Phillies at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-23,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-24,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-08-25,MLB,Atlanta Braves,Washington Nationals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-03,MLB,Atlanta Braves,Colorado Rockies at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-04,MLB,Atlanta Braves,Colorado Rockies at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-05,MLB,Atlanta Braves,Colorado Rockies at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-06,MLB,Atlanta Braves,Toronto Blue Jays at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-07,MLB,Atlanta Braves,Toronto Blue Jays at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-08,MLB,Atlanta Braves,Toronto Blue Jays at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-13,MLB,Atlanta Braves,Los Angeles Dodgers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-14,MLB,Atlanta Braves,Los Angeles Dodgers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-14,MLS,Atlanta United FC,Nashville SC at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-09-15,MLB,Atlanta Braves,Los Angeles Dodgers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-16,MLB,Atlanta Braves,Los Angeles Dodgers at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-18,MLS,Atlanta United FC,Inter Miami CF at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-09-24,MLB,Atlanta Braves,New York Mets at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-25,MLB,Atlanta Braves,New York Mets at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-27,MLB,Atlanta Braves,Kansas City Royals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-28,MLB,Atlanta Braves,Kansas City Royals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-09-29,MLB,Atlanta Braves,Kansas City Royals at Atlanta Braves,Truist Park,-84.468239,33.890781
2024-10-02,MLS,Atlanta United FC,CF Montréal at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-10-05,MLS,Atlanta United FC,New York Red Bulls at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2024-10-27,NBA,Atlanta Hawks,New York at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-10-30,NBA,Atlanta Hawks,Minnesota at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-11-01,NBA,Atlanta Hawks,Washington at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-11-09,NBA,Atlanta Hawks,Orlando* at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-11-11,NBA,Atlanta Hawks,Miami at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-11-15,NBA,Atlanta Hawks,New York at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-11-17,NBA,Atlanta Hawks,Philadelphia at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-11-21,NBA,Atlanta Hawks,Indiana at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-11-22,NBA,Atlanta Hawks,Brooklyn at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-12-06,NBA,Atlanta Hawks,Brooklyn at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-12-11,NBA,Atlanta Hawks,Denver at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-12-18,NBA,Atlanta Hawks,Detroit at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-12-23,NBA,Atlanta Hawks,Memphis at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2024-12-29,NBA,Atlanta Hawks,Sacramento at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-01-03,NBA,Atlanta Hawks,Oklahoma City at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-01-10,NBA,Atlanta Hawks,Philadelphia at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-01-12,NBA,Atlanta Hawks,Indiana at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-01-13,NBA,Atlanta Hawks,Washington at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-01-15,NBA,Atlanta Hawks,San Antonio at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-01-17,NBA,Atlanta Hawks,Orlando at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-01-20,NBA,Atlanta Hawks,Cleveland at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-01-26,NBA,Atlanta Hawks,Dallas at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-01-28,NBA,Atlanta Hawks,Toronto at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-01-30,NBA,Atlanta Hawks,Los Angeles at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-02-02,NBA,Atlanta Hawks,Phoenix at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-02-03,NBA,Atlanta Hawks,Golden State at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-02-05,NBA,Atlanta Hawks,LA at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-02-10,NBA,Atlanta Hawks,Houston at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-02-12,NBA,Atlanta Hawks,Chicago at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-02-22,MLS,Atlanta United FC,CF Montréal at Atlanta United FC,Mercedes-Benz Stadium,-84.401993,33.755489
2025-02-23,NBA,Atlanta Hawks,Toronto at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-02-23,MLB,Atlanta Braves,Tampa Bay Rays at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2025-02-25,MLB,Atlanta Braves,Boston Red Sox at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2025-02-25,NBA,Atlanta Hawks,Orlando at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
2025-02-26,MLB,Atlanta Braves,Pittsburgh Pirates at Atlanta Braves,CoolToday Park,-82.319747,27.032414
2025-02-27,NBA,Atlanta Hawks,Utah at Atlanta Hawks,State Farm Arena,-84.39639,33.75722
